	75
place.n.04:place	17
overflow.v.01:overflow	24
israel.n.02:Israel	1
shekel.n.01:shekel	13
energy.n.03:energy	29
defect.n.02:shortcoming	179
deeply.r.02:deep	122
duffel_bag.n.01:duffle	24
content.v.02:content	44
bat.n.01:bat	2
terminal.n.02:pole	59
roll.v.11:roll	82
flight.n.05:flight	48
wish.n.01:want	1
sandbag.n.01:sandbag	33
hesitate.v.01:hesitate	23
canvas_tent.n.01:canvas	70
cringle.n.01:grommet	81
measure.n.02:quantity	143
gun.n.01:gun	15
backpack.n.01:rucksack	7
gorge.v.01:stuff	2
filling.n.06:filling	200
junior.n.04:Junior	16
misconstrue.v.01:misunderstand	136
junior.n.03:junior	5
youth.n.04:youth	9
crunch.n.02:crunch	39
cheer.n.01:cheer	12
canoe.v.01:canoe	37
orange.n.03:orange	2
old_world_oriole.n.01:oriole	155
wear.v.03:wear	8
wonder.n.01:wonder	72
scar.v.01:scar	1
spotter.n.02:spotter	2
pardon.v.02:pardon	7
adolescent.s.02:teen	15
faithfully.r.01:faithfully	1
sink.n.02:sink	2
drain.n.02:drain	177
wipe.v.01:wipe	56
tarnish.n.01:tarnish	13
offset.v.05:offset	18
deflect.v.02:bend	19
right.a.05:right	2
freemason.n.01:Mason	40
universe.n.01:creation	18
unprofessional.a.01:unprofessional	6
daintiness.n.01:delicacy	5
fold.n.01:crimp	27
costumier.n.01:costumer	27
brush.v.01:brush	34
tightness.n.05:tightness	8
dark.n.01:dark	13
ruff.n.03:ruff	30
six.n.01:six	6
sketch.n.01:sketch	165
book.n.02:book	10
chump.n.01:mug	6
intend.v.02:destine	52
supply.v.01:render	36
pool.n.09:pool	332
diaper.n.01:diaper	7
newborn.s.01:newborn	69
toy.v.02:toy	13
cable.n.06:cable	49
binder.n.01:binder	77
access.n.02:access	39
switch.n.07:switch	70
weekend.v.01:weekend	47
stress.v.01:stress	8
quintessential.a.01:quintessential	11
concede.v.01:confess	52
tie.v.09:tie	102
inclination.n.01:tendency	14
collar.n.01:neckband	18
itch.n.03:itching	4
field.n.05:field	57
around.r.09:around	25
bomber.n.01:bomber	9
stirrup.n.01:stirrup	1
absorb.v.08:absorb	774
daze.n.01:shock	95
associate_in_arts.n.01:AA	42
contend.v.06:fight	12
interpretation.n.01:interpretation	246
rupture.n.02:break	35
strike.v.05:strike	1
defender.n.01:guardian	70
angel.n.01:angel	60
express.n.03:express	21
piece.v.05:piece	28
float.v.09:float	5
link.n.05:link	5
roast.v.01:roast	79
restock.v.01:restock	33
writhe.v.01:wrestle	37
establish.v.05:give	44
flow.v.01:flow	9
negligee.n.01:housecoat	174
vest.v.05:robe	131
bathrobe.n.01:bathrobe	10
stroke.v.02:stroke	3
survivor.n.01:survivor	37
catch.n.09:snap	7
buttoned.a.01:buttoned	27
independent.a.01:independent	15
believer.n.02:believer	3
tribe.n.01:tribe	2
shiver.v.02:shiver	103
tendon.n.01:tendon	90
squat.v.01:scrunch	12
pop.n.03:popping	3
wince.v.02:wince	56
hypothesis.n.02:possibility	82
compression.n.02:compression	38
appreciate.v.01:appreciate	66
breeze.n.01:air	3
smother.v.03:smother	39
museum.n.01:museum	55
mock.n.01:mock	32
absurdly.r.01:absurdly	162
train_of_thought.n.01:thread	102
yellow_journalism.n.01:tab	13
scissors.n.02:scissors	17
guy.n.03:guy_wire	16
sustain.v.04:sustain	44
handily.r.01:conveniently	63
sale.n.05:sale	100
hold.v.11:bear	305
five.n.01:V	10
anvil.n.01:anvil	11
hem.n.02:ahem	177
crew.n.01:crew	31
middle.n.03:midriff	7
ibuprofen.n.01:Advil	2
highlands.n.01:Highlands	35
solution.n.01:solution	2
turn.v.14:turn	22
collaborator.n.03:partner	63
leave.v.06:leave	8
mocha.n.03:mocha	3
yam.n.04:yam	2
russell.n.06:Russell	4
colossus.n.02:heavyweight	110
art.n.01:art	2
simplicity.n.03:simplicity	1
directness.n.01:directness	208
dwelling.n.01:home	6
drunkard.n.01:drunk	2
door.n.03:door	19
whiten.v.01:white	5
pick.n.06:pick	5
bodybuilder.n.01:bodybuilder	45
eighty-eight.s.01:88	184
yield.n.03:fruit	7
blotch.n.01:blotch	40
tell.v.02:tell	17
post.v.07:post	40
boundary_line.n.01:borderline	48
minor.a.03:minor	118
trade.n.02:craft	31
dress.v.09:decorate	9
banana.n.01:banana	8
patch.v.01:patch	20
act.n.03:act	3
appreciably.r.01:appreciably	1
rewriting.n.01:revising	10
kiwi.n.03:kiwi	5
feeder.n.01:feeder	13
chow.n.02:eats	4
hum.v.02:buzz	5
hummingbird.n.01:hummingbird	703
pearl.n.01:pearl	90
standard.a.04:received	10
hygiene.n.02:hygiene	4
draft.n.01:draft	11
brisk.v.01:brisk	56
however.r.01:nevertheless	1
venereal_disease.n.01:STD	12
closeout.n.01:closeout	57
laundering.n.01:laundering	5
layer.n.01:bed	708
cosy.n.01:cozy	45
patrick.n.01:Patrick	19
deadline.n.01:deadline	3
approach.n.02:approaching	3
bait.n.02:bait	2
waive.v.01:waive	26
printing.n.02:printing	43
decorate.v.01:decorate	6
expendable.a.01:expendable	11
seaport.n.01:harbor	28
calculation.n.02:figuring	18
constant.n.01:constant	4
silkscreen.n.01:silkscreen	26
imprint.v.01:imprint	18
spot.v.02:discern	145
message.n.02:message	29
tomato.n.01:tomato	158
misinform.v.01:mislead	3
decolletage.n.01:decolletage	29
fortune.n.02:fortune	9
whoop.v.01:whoop	4
federal_bureau_of_investigation.n.01:FBI	12
agent.n.03:agent	155
beam.n.04:ray	337
prohibition.n.02:ban	112
brilliantly.r.01:brightly	10
ab.n.02:Av	101
sunlight.n.01:sunlight	13
breakable.a.01:breakable	71
five.n.01:5	34
mirror.v.01:mirror	134
fold.n.01:bend	6
desire.n.03:desire	27
snap_up.v.01:grab	5
splinter.v.03:sliver	2
paring.n.01:sliver	27
mirror.v.02:mirror	13
err.v.01:slip	1
varnish.v.01:varnish	6
neighbor.v.01:neighbor	29
wheelchair.n.01:wheelchair	75
skid.n.03:skid	7
lawsuit.n.01:lawsuit	3
fragility.n.02:fragility	62
apartment.n.01:apartment	29
skid.v.04:skid	15
test.v.01:prove	38
help.v.01:assist	19
safe.a.03:safe	44
holster.n.01:holster	10
hindrance.n.01:check	49
issue.v.04:issue	22
botch.v.01:fluff	35
hawaiian.a.01:Hawaiian	26
armoire.n.01:armoire	23
rate.v.01:range	12
prospective.a.01:prospective	74
exemplar.n.01:model	25
painted.a.01:painted	47
furniture.n.01:furniture	28
autonomic_nervous_system.n.01:autonomic_nervous_system	32
hinge.n.02:hinge	11
wobble.n.01:wobble	5
name.n.03:name	58
turkey.n.05:dud	82
trap.n.06:hole	9
loyalty.n.01:loyalty	9
disregard.n.01:disregard	17
spiel.n.01:patter	4
draper.n.01:draper	2
turn.v.10:turn	31
dress.v.04:dress	6
gem.n.01:treasure	22
induce.v.02:induce	229
moccasin.n.01:moccasin	30
tile.v.01:tile	25
exist.v.02:survive	121
target.n.01:mark	18
avail.v.02:avail	73
feed.n.01:feed	9
raccoon.n.02:raccoon	12
spank.v.01:spank	82
buy_back.v.01:repurchase	40
crowd.n.02:crew	2
map.v.02:map	14
sludge.n.02:gunk	121
answer.n.01:response	5
combination.n.05:combination	3
acadia.n.01:Acadia	31
coil.v.03:curl	39
act.v.02:act	20
brag.n.01:brag	13
close_call.n.01:squeak	19
shank.v.01:shank	42
disguise.v.01:disguise	76
crew.v.01:crew	69
shout.v.02:cry	54
metatarsal.n.01:metatarsal	45
blow.n.01:blow	10
shank.n.03:shank	12
build_up.v.02:build	29
aesthetic.a.02:aesthetic	4
hurriedly.r.01:hastily	37
settle.v.01:settle	39
below.r.01:beneath	15
jacklight.v.01:jack	88
steady.a.01:steady	13
steep.v.01:steep	17
render.v.04:generate	7
cramp.v.04:cramp	13
cure.v.04:cure	28
date.n.05:date	12
predominantly.r.01:predominantly	17
reversible.n.01:reversible	11
crisscross.n.01:crisscross	47
stick.n.06:stick	7
syndrome.n.02:syndrome	7
mandate.n.02:mandatory	215
arch.n.04:arch	242
nine.s.01:nine	15
stiffen.v.03:constrain	4
sidewall.n.02:sidewall	40
hollywood.n.01:Hollywood	5
shingle.n.01:shake	26
buff.v.02:buff	20
visit.n.02:visit	14
abhor.v.01:loathe	7
stalk.v.03:stalk	11
flesh.v.01:flesh	10
flog.v.01:welt	3
taste.v.06:taste	19
circumstance.n.03:condition	83
pack.v.10:pack	66
software.n.01:package	35
cinch.n.01:breeze	10
neuropathy.n.01:neuropathy	22
doctor_of_the_church.n.01:Doctor	7
unsympathetic.a.02:unappealing	23
economic.a.01:economic	4
middle.n.02:middle	1
dinghy.n.01:rowboat	21
ro.n.01:Ro	23
trotter.n.01:trotter	87
appeal.n.02:appeal	99
glue.v.02:glue	117
church.n.01:church	91
hush.n.01:hush	51
trotting_horse.n.01:trotter	68
overstate.v.01:exaggerate	2
underestimate.v.03:underrate	15
mu.n.01:mu	29
horsepower.n.01:HP	10
funds.n.01:finances	2
camelot.n.01:Camelot	37
brass.n.01:brass	296
stress.n.01:accent	26
theodolite.n.01:transit	85
church_service.n.01:church	26
open.v.07:open	6
subject.v.01:subject	23
martin.n.05:martin	1
denudation.n.01:stripping	26
heave.v.04:heft	58
conditioner.n.01:conditioner	9
fracture.n.03:cracking	37
five.s.01:v	3
redwing.n.02:redwing	21
scuff.v.03:scuff	97
cut.n.18:cut	41
personal_identification_number.n.01:personal_identification_number	24
poplin.n.01:poplin	8
wrinkle.v.02:crisp	7
second.n.08:endorsement	20
decide.v.01:determine	11
refined.a.02:refined	42
easy.r.03:soft	9
alabama.n.04:Alabama	1
woodworker.n.01:woodworker	9
release.n.03:release	68
pull.v.01:draw	32
beat.v.03:beat	263
relief.n.02:ease	103
shed.v.01:shed	80
oil.n.02:oil	37
quote.v.01:quote	14
goat.n.01:goat	2
herd.n.02:herd	31
criticism.n.01:criticism	1
cajun.n.01:Cajun	1
okra.n.02:gumbo	2
shingle.v.01:shingle	5
acre.n.01:acre	10
grow.v.07:farm	133
china.n.01:China	5
printable.a.01:printable	4
dylan.n.02:Dylan	4
page.v.01:page	14
scan.v.01:scan	5
visa.n.01:visa	11
twenty-second.s.01:22nd	7
academy.n.02:academy	21
arm.v.01:arm	73
war.n.01:war	24
participate.v.01:participate	1
flax.n.01:flax	122
fossil.n.02:fossil	34
ultimate.n.01:ultimate	13
tundra.n.01:tundra	22
overall.s.02:overall	40
alaska.n.01:AK	3
eighty-fifth.s.01:85th	19
pump.v.04:pump	16
platform.n.04:platform	58
masthead.n.01:flag	9
apologize.v.01:apologize	17
block.n.04:block	43
reservation.n.02:reservation	56
room.n.02:way	3
mental.a.02:mental	1
jittery.a.01:jittery	8
corrode.v.01:rust	10
bamboozle.v.01:snow	62
save.v.05:save	101
dangerous.a.01:dangerous	51
grader.n.01:grader	5
missouri.n.04:Missouri	29
disable.v.02:disable	31
slip.n.03:slip	4
climb.v.02:climb	1
psychologically.r.01:psychologically	14
daunt.v.01:daunt	108
ice.n.02:ice	58
vicinity.n.01:neighborhood	15
blizzard.n.01:snowstorm	21
ice_rink.n.01:ice	38
slick.v.01:slick	17
rave.n.02:rave	17
slick.n.04:slick	7
ice.v.02:ice	34
slickness.n.03:slip	177
grip.v.01:grip	1
back_door.n.02:backdoor	37
feed.v.02:feed	2
electric_fan.n.01:blower	54
thaw.n.01:melt	5
gyrate.v.01:coil	20
awe.v.01:awe	11
thorough.s.01:thorough	7
spread.n.05:spread	18
bot.n.01:bot	22
subsequent.a.01:subsequent	50
weave.v.04:wind	36
dissolve.v.09:melt	31
freeze.v.02:freeze	153
ahead.r.02:forward	13
authorize.v.01:clear	129
flexibility.n.02:flexibility	41
luminescence.n.02:glow	92
precipitate.v.03:fall	3
competition.n.03:competition	2
invalid.a.01:invalid	2
whiplash.n.01:whiplash	59
cleat.n.01:cleat	20
mold.n.02:cast	30
habit.n.01:habit	1
backtrack.v.01:backtrack	1
trace.v.03:retrace	17
unlucky.a.01:unlucky	11
snowshoe.n.01:snowshoe	42
asphalt.n.01:asphalt	1
dumping.n.01:dumping	42
still.v.03:ease	16
ramble_on.v.01:jog	49
deceive.v.02:deceive	43
walker.n.01:Walker	9
marble.n.01:marble	1
entrance.n.01:entryway	24
minnesota.n.01:MN	5
clairvoyance.n.01:ESP	17
unsteady.a.01:unsteady	55
pedal_point.n.01:pedal	12
freeze.v.08:freeze	89
building.n.01:building	37
sincerely.r.01:sincerely	18
stranger.n.02:stranger	16
bridge.n.02:bridge	18
pop.v.07:pop	3
bobby_pin.n.01:grip	6
yak.n.02:yak	31
park.v.01:park	6
quadriceps.n.01:quadriceps	2
rupture.n.02:rupture	11
investigate.v.01:investigate	68
cycling.n.01:cycling	85
slush.n.01:slush	100
tungsten.n.01:tungsten	1
coiled.a.01:coiled	1
finnish.a.01:Finnish	123
concrete.n.01:concrete	12
aggressively.r.01:aggressively	16
property.n.02:property	2
hardness.n.02:hardness	7
puncture.n.03:puncture	9
surpass.v.02:outperform	11
surgery.n.01:surgery	37
evaluation.n.02:evaluation	5
penetration.n.02:penetration	2
matrix.n.06:matrix	8
trial.n.02:tryout	3
ice.n.01:water_ice	3
rail.v.04:rail	5
spiral.n.01:spiral	43
switch.v.03:shift	33
cement.n.01:cement	17
device.n.03:device	153
october.n.01:October	42
california.n.01:CA	15
indispensable.a.01:indispensable	55
fall.v.06:fall	71
gain.v.08:clear	4
rash.n.02:blizzard	60
carpet.v.03:carpet	21
sound.v.02:sound	28
adjusted.a.02:adjusted	12
glance.n.01:glimpse	18
stride.n.03:stride	6
mimosa.n.02:mimosa	10
catch.v.01:catch	6
offer.v.08:offer	25
footpad.n.01:footpad	3
exception.n.01:exclusion	2
silver_wattle.n.01:mimosa	3
collie.n.01:collie	26
cruise.v.01:cruise	114
fall.v.03:fall	13
whirl.n.02:vortex	10
fatal.a.01:fatal	44
extraordinary.a.01:extraordinary	21
unfair.a.01:unfair	19
egyptian.a.01:Egyptian	11
pop.v.05:pop	37
understudy.v.01:alternate	23
grasshopper.n.02:grasshopper	44
again.r.01:again	15
suffer.v.03:suffer	21
prayer.n.01:prayer	11
wish.v.04:wish	48
vamp.n.03:vamp	15
grasshopper.n.01:grasshopper	1
jensen.n.01:Jensen	34
european.n.01:European	4
lock.v.09:lock	43
beige.s.01:beige	5
dash.n.05:dah	68
cancel.v.01:scrub	11
movement.n.04:movement	9
squat.v.03:squat	86
start.n.08:start	8
rival.n.01:contender	49
publish.v.02:release	32
mess.n.05:mess	5
stamp.v.02:stamp	43
lead.v.01:guide	41
nice.s.03:nice	4
drake.n.02:drake	2
united.a.01:united	74
factor.n.01:factor	75
fraction.n.01:fraction	21
ripper.n.01:ripper	2
latin.a.02:Latin	2
safeguard.v.01:safeguard	18
tease.v.02:cod	9
planning.n.02:planning	6
dunce.n.01:bonehead	161
ultraviolet.n.01:UV	45
subjective.a.01:subjective	26
gusto.n.01:gusto	15
darling.n.01:pet	82
gear.n.01:gear	91
columbia.n.01:Columbia	62
forewarn.v.01:forewarn	25
texas_ranger.n.01:Ranger	47
menagerie.n.02:zoo	8
sequoia.n.01:redwood	23
extra.r.01:extra	49
tropic.n.01:tropic	36
film.v.01:shoot	16
red.n.01:redness	21
chilliness.n.01:coolness	16
crown.n.11:cap	22
ocean.n.02:ocean	8
corroborate.v.03:support	137
greater.a.01:greater	34
enmesh.v.01:mesh	12
escape.n.01:escape	10
committee.n.01:commission	9
duplicate.v.01:duplicate	2
drought.n.02:drought	24
fluctuate.v.01:fluctuate	74
enormously.r.01:tremendously	11
whale.n.02:whale	13
pitch.n.06:tar	27
gut.v.02:gut	110
absolute.a.01:absolute	39
pool.n.06:pool	24
diabetic.n.01:diabetic	10
snowman.n.01:snowman	30
distributor.n.01:distributor	6
hippopotamus.n.01:hippo	48
drilling.n.01:boring	189
indoor.a.01:indoor	9
restriction.n.03:restriction	11
respects.n.01:respects	6
school.n.07:shoal	19
snow.n.03:Snow	17
ninja.n.02:ninja	44
clique.n.01:camp	6
spruce.n.01:spruce	9
hind.n.02:hind	17
youth.n.06:youth	2
color.n.07:colour	42
maroon.n.03:maroon	35
drape.v.02:drape	55
get_the_better_of.v.01:defeat	33
body.n.02:body	103
center.a.02:center	18
upgrade.n.06:upgrade	38
somehow.r.02:somehow	6
batch.v.01:batch	8
print.v.02:print	12
cook.v.01:cook	2
spatter.n.02:spatter	60
believe.v.01:believe	43
rich_people.n.01:rich	2
rebellion.n.02:rising	20
body.n.04:body	2
custodian.n.01:steward	3
public.n.02:public	35
topic.n.02:topic	6
rouge.n.01:rouge	7
condition.n.08:experimental_condition	74
system.n.02:scheme	19
suit.v.02:suit	16
hairy.a.01:hairy	14
forearm.v.01:forearm	30
kilogram.n.01:kg	38
open.a.11:open	85
way.n.12:way	115
looking.n.02:looking_for	61
endow.v.01:gift	5
strike.v.07:strike	56
informal.a.01:informal	30
position.n.06:spot	4
anonymous.a.01:anonymous	22
layer.n.05:layer	6
comprehensive.a.01:comprehensive	15
notice.v.02:notice	109
mail.v.02:send	12
slip.v.09:slip	208
pajama.n.01:pajama	78
rivulet.n.01:run	18
checkup.n.01:medical	86
shift.n.01:shift	6
career.v.01:career	57
fantastic.s.02:wonderful	3
operative.a.01:operative	51
spur.n.04:spur	3
slice.n.04:slice	3
shoal.n.02:shoal	8
lopsidedly.r.01:crookedly	16
arctic.n.02:rubber	10
eye.v.01:eyeball	1
lecture.v.01:lecture	35
hallway.n.01:hall	17
rubbish.n.01:trash	5
quack.n.01:quack	76
abdomen.n.01:abdomen	25
observe.v.06:keep	13
rock_candy.n.01:rock	5
ogle.v.01:ogle	227
one_hundred_fifteen.s.01:115	82
gaze.v.01:stare	2
leadership.n.02:leaders	1
tantalizer.n.01:tantalizer	14
glitter.v.01:gleam	21
vein.n.02:vein	76
stain.n.01:discoloration	2
reduce.v.20:slenderize	267
ballet.n.01:ballet	7
theatrical_performance.n.01:theatrical	31
adjust.v.05:adjust	6
vein.n.01:vein	35
bruise.n.01:bruise	185
imperfection.n.01:imperfection	25
squash.v.01:squeeze	59
death.n.03:death	9
production.n.02:production	546
meter.n.01:metre	4
run.n.13:ravel	23
approve.v.02:approve	47
get.v.19:catch	42
deer.n.01:deer	11
lamb.n.01:lamb	33
grain.n.10:grain	43
custom.n.01:custom	44
fir.n.01:fir	27
adhere.v.06:bond	59
steer.v.01:steer	177
steering_wheel.n.01:wheel	2
contaminant.n.01:contaminant	2
curtis.n.01:Curtis	1
persuader.n.01:persuader	4
grain.n.03:grain	11
flatness.n.04:matt	8
deerskin.n.01:deerskin	41
shark.n.01:shark	155
tooth.n.01:tooth	45
drive.v.03:drive	25
scoop.v.01:scoop	13
tight.s.06:tight	3
mandate.n.01:authorization	17
train.v.02:prepare	87
sufficiently.r.01:sufficiently	34
narrow.a.04:narrow	11
distrust.v.01:suspect	14
survival.n.02:survival_of_the_fittest	46
storehouse.n.01:storehouse	16
express.n.02:limited	61
polish.n.01:polish	105
reluctance.n.02:hesitation	7
marx.n.03:Chico	2
jet.n.02:squirt	3
charge.v.18:burden	38
white.n.02:whiteness	1
pale_yellow.n.01:wheat	12
catalog.n.02:catalogue	5
elizabeth.n.02:Elizabeth	340
pump.n.01:pump	47
bivalent.a.02:double	4
palace.n.01:palace	3
corgi.n.01:corgi	4
doubly.r.01:doubly	8
satisfy.v.02:gratify	8
discovery.n.01:uncovering	12
hera.n.01:Here	50
compliment.v.01:compliment	2
blend.v.02:go	22
winner.n.02:winner	22
bailey.n.04:bailey	8
financially.r.01:financially	225
fur.n.02:fur	61
clog.n.01:clog	551
calf.n.02:calf	3
military_unit.n.01:force	3
split.n.03:split	3
ides.n.01:ides	59
agency.n.01:office	4
integrity.n.02:integrity	11
splash.v.05:splash	17
juke.n.02:juke	191
hello.n.01:hello	14
preteen.n.01:preteen	3
lexington.n.03:Concord	23
orient.v.01:orient	26
pommy.n.01:pom	2
berry.n.02:berry	19
quilt.n.01:puff	65
felt.v.03:mat	200
apart.r.03:apart	11
anil.n.01:indigo	36
juke.n.02:fake	27
order.n.02:order_of_magnitude	6
string.v.01:string	18
branch_line.n.01:spur	6
spur.v.05:spur	57
faith.n.02:trust	79
vacation.v.01:holiday	29
pain.v.02:pain	2
fagot.n.01:queer	85
bus.n.01:bus	24
slog.v.02:trudge	11
side.n.07:side	79
boot.n.04:boot	16
official.n.02:official	9
birch.n.03:birch	18
ti.n.03:te	8
break.v.20:break	50
return.n.03:return	11
strictly.r.02:strictly	31
knock.v.01:knock	17
infrequently.r.01:infrequently	110
net.a.01:net	1
net.v.04:nett	15
tan.n.01:suntan	26
cellulite.n.01:cellulite	22
wrong.a.05:wrong	16
distant.a.01:distant	31
imprint.n.05:imprint	4
lead.n.04:lead	21
space.n.05:blank	59
encase.v.01:case	8
toast.n.02:toast	6
tanned.a.02:tanned	65
mustard.n.02:mustard	4
practice.n.03:practice	2
pirouette.n.01:pirouette	37
tights.n.01:leotards	11
fifty.n.01:fifty	7
wonderland.n.01:wonderland	9
reducing_agent.n.01:reducer	5
dawn.v.03:dawn	25
shave.v.02:shave	49
bloch.n.01:Bloch	132
together.r.05:together	72
anklet.n.03:anklet	59
observation.n.01:observation	57
tea.n.01:tea	33
cheerfulness.n.01:cheer	75
lyric.n.01:words	11
lawn_mower.n.01:mower	9
jerk.n.01:jerk	60
absorption.n.02:absorption	6
circumspection.n.02:circumspection	64
tap.n.04:tap	24
linoleum.n.01:linoleum	7
salsa.n.01:salsa	24
stretching.n.01:stretching	15
wind.n.04:jazz	2
relay.v.02:relay	38
enjoy.v.02:enjoy	37
dance.v.03:dance	17
bombard.v.02:bomb	12
dancer.n.02:dancer	60
once.r.03:once	11
choir.n.01:choir	74
junior.n.04:Jr	45
tour.v.01:tour	8
refrain.n.01:chorus	11
spell.v.02:spell	10
get_rid_of.v.01:remove	1
pat.r.01:pat	48
spectacles.n.01:specs	6
crimp.v.02:crimp	40
occasion.v.01:occasion	70
heft.n.01:heft	44
touch.n.03:ghost	7
spectacularly.r.01:spectacularly	149
marten.n.01:marten	5
chart.v.02:chart	35
espresso.n.01:espresso	1
felicia.n.01:Felicia	1
herb.n.02:herb	2
ride.v.13:ride	15
tamper.v.01:fiddle	71
chest.n.02:chest	106
anne.n.01:Anne	6
masquerade.v.02:masquerade	49
rim.n.01:rim	16
trade.n.03:trade	18
content.v.01:content	21
animal.n.01:creature	14
falsely.r.02:falsely	25
writhe.v.01:worm	22
request.v.01:quest	43
dainty.n.01:treat	69
acme.n.01:top	6
internet_explorer.n.01:IE	42
mismatch.v.01:mismatch	9
lie.v.04:lie	99
next.r.01:next	3
unworthy.a.01:unworthy	2
communication.n.03:communication	54
polyester.n.02:polyester	5
metropolitan.n.02:metropolitan	51
corporate.a.01:corporate	15
smile.n.01:smiling	17
nonexistent.a.01:nonexistent	3
slattern.n.02:slut	121
submit.v.06:bow	22
vogue.n.01:trend	49
screw_thread.n.01:thread	22
wish.v.05:wish	21
varied.a.01:varied	22
cable.n.03:cable	12
yarn.v.01:yarn	25
unretentive.a.01:short	22
stipulate.v.01:specify	4
promote.v.02:promote	75
thread.n.01:yarn	32
steer.v.01:point	51
screen.v.03:sort	16
bleach.v.02:bleach	39
tube.n.02:tube	84
jogging.n.01:jogging	1
introduction.n.04:introduction	60
heel.v.03:heel	6
concentration.n.02:density	13
generic.n.02:generic	58
cheaply.r.03:cheaply	108
healthy.a.01:healthy	12
regretfully.r.01:regretfully	20
prerequisite.n.01:requirement	39
bleach.v.01:bleach	94
clash.n.02:friction	6
extract.v.01:pull	22
sneak.v.01:creep	28
swell.n.02:swell	1
pipe.n.03:tube	15
stag.n.02:stag	7
lacrosse.n.01:lacrosse	46
history.n.01:history	39
plant.n.02:plant	28
knock.v.02:knock	4
heading.n.01:heading	13
gymnasium.n.02:gymnasium	125
terry.n.02:terry	145
mild.a.01:mild	18
shed.v.01:drop	12
windsor.n.02:Windsor	47
inevitably.r.01:inevitably	1
transparently.r.02:transparently	44
miss.v.01:miss	2
mate.n.01:mate	3
blunder.n.01:blunder	17
premise.n.01:assumption	39
stellar.a.02:stellar	1
mercerize.v.01:mercerize	62
road.n.01:route	5
miss.n.02:miss	45
record.n.01:record	5
meaty.a.01:meaty	73
strictly.r.01:purely	2
interlock.v.01:interlock	70
weave.n.01:weave	7
finished.a.01:finished	6
consult.v.01:consult	19
collapse.n.02:collapse	66
collapse.v.01:collapse	3
vouch.v.01:vouch	21
determine.v.02:regulate	37
probable.a.01:likely	17
stumble.v.04:stumble	17
abnormal.a.01:abnormal	62
infantry.n.01:foot	45
ball.n.08:lump	205
start.v.14:pop	99
buttocks.n.01:tush	3
acrylic.n.03:acrylic	12
critter.n.01:critter	117
blend.v.03:mix	4
twinkie.n.01:Twinkie	39
ball.n.08:ball	17
repel.v.01:repel	35
right.n.05:right	63
predict.v.01:call	3
sewer.n.02:sewer	40
questionable.a.01:questionable	38
ribbed.a.01:ribbed	4
understudy.n.01:standby	41
detective.n.01:tec	14
public_relations.n.01:public_relations	154
arthritis.n.01:arthritis	8
attack.n.01:attack	65
well.r.13:well	41
might.n.01:power	1
stump.v.01:stump	7
ice_hockey.n.01:hockey	13
poster.n.01:posting	43
thus.r.02:so	13
pluck.v.01:tweak	10
edition.n.01:edition	27
evolve.v.01:develop	175
shaft.n.01:shaft	88
answer.v.01:respond	3
indistinctness.n.01:softness	19
dramatically.r.03:dramatically	21
facial.a.02:facial	12
mess.n.01:mess	18
armor.n.03:armor	128
bump.n.01:bump	9
crowd.n.02:gang	109
lint.n.02:lint	4
stingy.a.01:stingy	24
one.n.01:single	232
bottom.n.04:bottom	88
dangle.v.02:dangle	12
third_base.n.01:third	20
battalion.n.02:multitude	13
absorb.v.02:absorb	7
pounder.n.01:pounder	28
prime.n.03:prime	46
soft.a.09:soft	61
forward.n.01:forward	19
favorable.a.02:favorable	20
bunch.n.01:clump	235
significant.a.01:significant	17
grace.n.04:grace	13
footed.a.01:footed	17
iteration.n.03:iteration	28
faithfully.r.01:reliably	26
fade.n.02:fade	57
downgrade.v.01:downgrade	16
stack.v.01:stack	11
structurally.r.01:structurally	72
sound.a.03:sound	10
haircut.n.01:haircut	3
king.n.08:king	8
family.n.06:family	19
member.n.02:member	11
chop.v.03:chop	30
annoyingly.r.01:annoyingly	1
physiology.n.01:physiology	1
gravity.n.03:solemnity	36
supernumerary.n.02:supernumerary	1
unfaithful.a.01:unfaithful	92
gang.n.01:pack	74
squash.v.01:crush	30
coarse.a.01:coarse	1
region.n.04:region	27
warrant.n.01:warrant	4
permanent_wave.n.01:perm	59
marker.n.01:marker	3
creature.n.03:puppet	12
routine.n.01:routine	10
tug.v.02:drive	48
clique.n.01:pack	26
roll.v.18:roll	40
treatment.n.02:handling	12
imitation.n.01:imitation	9
insert.v.02:introduce	28
swerve.v.01:cut	6
chop.n.05:chop	4
turnaround.n.01:turnaround	2
goblin.n.01:goblin	74
need.n.02:want	7
steer.v.02:steer	62
clean.v.02:pick	23
quarter.n.09:quarter	28
grade.n.02:level	6
tease.n.03:ribbing	4
ridicule.n.01:ridicule	3
idiot.n.01:retard	11
brave.n.02:brave	40
interim.n.01:meantime	27
patriotic.a.01:loyal	13
ski_binding.n.01:binding	16
anklet.n.01:anklet	1
eccentricity.n.01:eccentricity	3
vomit.v.01:purge	10
gary.n.01:Gary	21
contemn.v.01:despise	18
scam.n.01:scam	1
spanish_american.n.01:Hispanic	13
couple.n.04:yoke	35
stall.n.03:stand	8
fracture.v.06:fracture	2
potency.n.02:strength	11
operation.n.03:operation	21
repeat.v.04:repeat	20
flea.n.01:flea	47
quickly.r.01:rapidly	78
beam.n.04:shaft	27
evanesce.v.01:fade	13
marshal.n.01:marshall	103
company.n.02:company	25
assume.v.02:assume	40
twist.n.11:twist	17
